Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      2.55     0.00    23650     0.00     0.00  x86_isa_rep_stosd_impl
  0.00      2.55     0.00    22894     0.00     0.00  x86_isa_cmp_rm32_r32_impl
  0.00      2.55     0.00    22321     0.00     0.00  x86_isa_shl_rm32_imm8_impl
  0.00      2.55     0.00    21505     0.00     0.00  X86ContextStoreRm8
  0.00      2.55     0.00    21180     0.00     0.00  x86_isa_xor_rm32_r32_impl
  0.00      2.55     0.00    20441     0.00     0.00  x86_isa_cmp_r32_rm32_impl
  0.00      2.55     0.00    19557     0.00     0.00  x86_isa_mov_rm32_imm32_impl
  0.00      2.55     0.00    18972     0.00     0.00  x86_isa_add_rm32_r32_impl
  0.00      2.55     0.00    16697     0.00     0.00  x86_isa_imul_r32_rm32_impl
  0.00      2.55     0.00    16388     0.00     0.00  X86ContextLoadFloat
  0.00      2.55     0.00    16386     0.00     0.00  X86ContextLoadDouble
  0.00      2.55     0.00    16384     0.00     0.00  x86_isa_fild_m32_impl
  0.00      2.55     0.00    16370     0.00     0.00  x86_isa_lea_r32_m_impl
  0.00      2.55     0.00    14853     0.00     0.00  x86_isa_mov_ir32_imm32_impl
  0.00      2.55     0.00    14592     0.00     0.00  si_isa_write_vreg
  0.00      2.55     0.00    13568     0.00     0.00  si_isa_read_reg
  0.00      2.55     0.00    13366     0.00     0.00  x86_isa_jbe_rel8_impl
  0.00      2.55     0.00    13161     0.00     0.00  x86_isa_jne_rel32_impl
  0.00      2.55     0.00    12018     0.00     0.00  x86_isa_push_ir32_impl
  0.00      2.55     0.00    10176     0.00     0.00  x86_isa_shr_rm32_1_impl
  0.00      2.55     0.00     9102     0.00     0.00  x86_isa_cmpxchg_rm32_r32_impl
  0.00      2.55     0.00     9037     0.00     0.00  x86_isa_jmp_rel32_impl
  0.00      2.55     0.00     8822     0.00     0.00  hash_table_find_next
  0.00      2.55     0.00     8593     0.00     0.00  x86_isa_cmovbe_r32_rm32_impl
  0.00      2.55     0.00     8561     0.00     0.00  x86_isa_pop_ir32_impl
  0.00      2.55     0.00     8450     0.00     0.00  x86_isa_setl_rm8_impl
  0.00      2.55     0.00     8365     0.00     0.00  list_remove_at
  0.00      2.55     0.00     8292     0.00     0.00  x86_isa_setg_rm8_impl
  0.00      2.55     0.00     8194     0.00     0.00  X86ContextDoubleToExtended
  0.00      2.55     0.00     8194     0.00     0.00  X86ContextFloatToExtended
  0.00      2.55     0.00     8194     0.00     0.00  x86_isa_fld_m32_impl
  0.00      2.55     0.00     8194     0.00     0.00  x86_isa_fld_m64_impl
  0.00      2.55     0.00     8192     0.00     0.00  x86_isa_fadd_m32_impl
  0.00      2.55     0.00     8192     0.00     0.00  x86_isa_fdivp_sti_st0_impl
  0.00      2.55     0.00     8192     0.00     0.00  x86_isa_fmul_m64_impl
  0.00      2.55     0.00     7886     0.00     0.00  hash_table_get
  0.00      2.55     0.00     7816     0.00     0.00  X86ContextMoffsAddress
  0.00      2.55     0.00     7424     0.00     0.00  si_isa_read_vreg
  0.00      2.55     0.00     6871     0.00     0.00  x86_isa_mov_eax_moffs32_impl
  0.00      2.55     0.00     6147     0.00     0.00  x86_isa_and_rm32_imm8_impl
  0.00      2.55     0.00     5606     0.00     0.00  x86_isa_movzx_r32_rm8_impl
  0.00      2.55     0.00     5370     0.00     0.00  x86_isa_jmp_rel8_impl
  0.00      2.55     0.00     4608     0.00     0.00  si_isa_V_MOV_B32_impl
  0.00      2.55     0.00     4576     0.00     0.00  str_single_spaces
  0.00      2.55     0.00     4575     0.00     0.00  str_trim
  0.00      2.55     0.00     4096     0.00     0.00  si_isa_V_ADD_I32_impl
  0.00      2.55     0.00     4096     0.00     0.00  si_isa_bitmask_sreg
  0.00      2.55     0.00     3963     0.00     0.00  x86_isa_je_rel32_impl
  0.00      2.55     0.00     3422     0.00     0.00  x86_isa_leave_impl
  0.00      2.55     0.00     3382     0.00     0.00  x86_isa_cmp_rm32_imm32_impl
  0.00      2.55     0.00     3097     0.00     0.00  linked_list_is_end
  0.00      2.55     0.00     2954     0.00     0.00  __xstrdup
  0.00      2.55     0.00     2491     0.00     0.00  mem_access
  0.00      2.55     0.00     2383     0.00     0.00  linked_list_get
  0.00      2.55     0.00     2334     0.00     0.00  x86_isa_shr_rm32_imm8_impl
  0.00      2.55     0.00     2324     0.00     0.00  x86_isa_jae_rel8_impl
  0.00      2.55     0.00     2314     0.00     0.00  linked_list_next
  0.00      2.55     0.00     2263     0.00     0.00  x86_isa_mov_rm8_r8_impl
  0.00      2.55     0.00     2234     0.00     0.00  x86_isa_inc_ir32_impl
  0.00      2.55     0.00     2170     0.00     0.00  x86_isa_mov_r8_rm8_impl
  0.00      2.55     0.00     2167     0.00     0.00  x86_isa_repnz_scasb_impl
  0.00      2.55     0.00     2155     0.00     0.00  x86_isa_sub_rm32_r32_impl
  0.00      2.55     0.00     2145     0.00     0.00  hash_table_insert
  0.00      2.55     0.00     1766     0.00     0.00  x86_isa_ja_rel8_impl
  0.00      2.55     0.00     1656     0.00     0.00  config_read_string
  0.00      2.55     0.00     1614     0.00     0.00  x86_isa_mov_rm8_imm8_impl
  0.00      2.55     0.00     1606     0.00     0.00  x86_isa_jle_rel8_impl
  0.00      2.55     0.00     1592     0.00     0.00  list_enqueue
  0.00      2.55     0.00     1536     0.00     0.00  si_isa_V_LSHLREV_B32_impl
  0.00      2.55     0.00     1516     0.00     0.00  list_remove
  0.00      2.55     0.00     1499     0.00     0.00  list_create
  0.00      2.55     0.00     1479     0.00     0.00  x86_isa_test_al_imm8_impl
  0.00      2.55     0.00     1475     0.00     0.00  x86_isa_ja_rel32_impl
  0.00      2.55     0.00     1397     0.00     0.00  x86_isa_add_rm32_imm32_impl
  0.00      2.55     0.00     1256     0.00     0.00  x86_isa_cmp_al_imm8_impl
  0.00      2.55     0.00     1240     0.00     0.00  x86_isa_cmp_rm8_r8_impl
  0.00      2.55     0.00     1184     0.00     0.00  si_uop_list_free
  0.00      2.55     0.00     1140     0.00     0.00  x86_isa_test_rm8_imm8_impl
  0.00      2.55     0.00     1130     0.00     0.00  X86ContextClearFlag
  0.00      2.55     0.00     1130     0.00     0.00  x86_isa_cld_impl
  0.00      2.55     0.00     1130     0.00     0.00  x86_isa_or_rm32_imm8_impl
  0.00      2.55     0.00     1068     0.00     0.00  linked_list_head
  0.00      2.55     0.00     1052     0.00     0.00  x86_isa_sar_rm32_imm8_impl
  0.00      2.55     0.00     1043     0.00     0.00  x86_isa_cmp_eax_imm32_impl
  0.00      2.55     0.00     1042     0.00     0.00  x86_isa_jg_rel8_impl
  0.00      2.55     0.00     1035     0.00     0.00  x86_isa_jbe_rel32_impl
  0.00      2.55     0.00     1024     0.00     0.00  si_isa_V_MUL_LO_I32_impl
  0.00      2.55     0.00      950     0.00     0.00  x86_isa_nop_impl
  0.00      2.55     0.00      942     0.00     0.00  x86_isa_mov_moffs32_eax_impl
  0.00      2.55     0.00      940     0.00     0.00  x86_isa_jae_rel32_impl
  0.00      2.55     0.00      924     0.00     0.00  x86_isa_cmp_rm8_imm8_impl
  0.00      2.55     0.00      814     0.00     0.00  x86_isa_idiv_rm32_impl
  0.00      2.55     0.00      809     0.00     0.00  x86_isa_and_rm32_imm32_impl
  0.00      2.55     0.00      804     0.00     0.00  x86_isa_dec_ir32_impl
  0.00      2.55     0.00      768     0.00     0.00  si_isa_V_OR_B32_impl
  0.00      2.55     0.00      738     0.00     0.00  x86_isa_or_rm32_r32_impl
  0.00      2.55     0.00      725     0.00     0.00  config_read_int
  0.00      2.55     0.00      717     0.00     0.00  linked_list_add
  0.00      2.55     0.00      666     0.00     0.00  linked_list_count
  0.00      2.55     0.00      650     0.00     0.00  x86_isa_call_rm32_impl
  0.00      2.55     0.00      635     0.00     0.00  x86_isa_div_rm32_impl
  0.00      2.55     0.00      628     0.00     0.00  si_isa_read_sreg
  0.00      2.55     0.00      617     0.00     0.00  X86ContextLoadRm16
  0.00      2.55     0.00      605     0.00     0.00  x86_isa_movsb_impl
  0.00      2.55     0.00      595     0.00     0.00  x86_isa_sub_rm32_imm32_impl
  0.00      2.55     0.00      567     0.00     0.00  x86_isa_js_rel8_impl
  0.00      2.55     0.00      556     0.00     0.00  net_routing_table_lookup
  0.00      2.55     0.00      532     0.00     0.00  si_isa_read_buf_res
  0.00      2.55     0.00      527     0.00     0.00  x86_isa_jns_rel8_impl
  0.00      2.55     0.00      521     0.00     0.00  x86_isa_cmp_r8_rm8_impl
  0.00      2.55     0.00      512     0.00     0.00  si_isa_TBUFFER_LOAD_FORMAT_XYZW_impl
  0.00      2.55     0.00      512     0.00     0.00  si_isa_V_MUL_I32_I24_impl
  0.00      2.55     0.00      512     0.00     0.00  si_isa_get_elem_size
  0.00      2.55     0.00      512     0.00     0.00  si_isa_get_num_elems
  0.00      2.55     0.00      483     0.00     0.00  x86_isa_cmovb_r32_rm32_impl
  0.00      2.55     0.00      480     0.00     0.00  x86_isa_cmp_r16_rm16_impl
  0.00      2.55     0.00      474     0.00     0.00  x86_isa_test_rm32_imm32_impl
