Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.55     0.00    52480     0.00     0.00  si_isa_V_ADD_I32_impl
  0.00      0.55     0.00    52480     0.00     0.00  si_isa_bitmask_sreg
  0.00      0.55     0.00    51116     0.00     0.00  mod_stack_create
  0.00      0.55     0.00    51116     0.00     0.00  mod_stack_return
  0.00      0.55     0.00    51116     0.00     0.00  mod_stack_wakeup_stack
  0.00      0.55     0.00    48152     0.00     0.00  list_dequeue
  0.00      0.55     0.00    48144     0.00     0.00  net_buffer_extract
  0.00      0.55     0.00    48144     0.00     0.00  net_buffer_insert
  0.00      0.55     0.00    45868     0.00     0.00  esim_execute_event
  0.00      0.55     0.00    43780     0.00     0.00  x86_isa_sub_rm32_imm8_impl
  0.00      0.55     0.00    42248     0.00     0.00  mod_handler_nmoesi_read_request
  0.00      0.55     0.00    42165     0.00     0.00  list_remove_at
  0.00      0.55     0.00    42154     0.00     0.00  x86_isa_jne_rel8_impl
  0.00      0.55     0.00    41611     0.00     0.00  x86_isa_test_rm32_r32_impl
  0.00      0.55     0.00    38626     0.00     0.00  mod_handler_nmoesi_find_and_lock
  0.00      0.55     0.00    35316     0.00     0.00  list_remove
  0.00      0.55     0.00    35125     0.00     0.00  X86ContextLoadRm8
  0.00      0.55     0.00    35004     0.00     0.00  si_isa_read_sreg
  0.00      0.55     0.00    34682     0.00     0.00  X86ContextEffectiveAddress
  0.00      0.55     0.00    34154     0.00     0.00  linked_list_is_end
  0.00      0.55     0.00    33832     0.00     0.00  mod_access
  0.00      0.55     0.00    33832     0.00     0.00  mod_access_finish
  0.00      0.55     0.00    33832     0.00     0.00  mod_access_start
  0.00      0.55     0.00    33832     0.00     0.00  mod_can_coalesce
  0.00      0.55     0.00    33812     0.00     0.00  si_isa_read_buf_res
  0.00      0.55     0.00    33792     0.00     0.00  si_isa_get_elem_size
  0.00      0.55     0.00    33792     0.00     0.00  si_isa_get_num_elems
  0.00      0.55     0.00    33221     0.00     0.00  x86_isa_cmp_rm32_imm8_impl
  0.00      0.55     0.00    32848     0.00     0.00  X86ContextPopFpu
  0.00      0.55     0.00    32848     0.00     0.00  X86ContextPushFpu
  0.00      0.55     0.00    32768     0.00     0.00  si_isa_TBUFFER_LOAD_FORMAT_XYZW_impl
  0.00      0.55     0.00    31501     0.00     0.00  x86_isa_ret_impl
  0.00      0.55     0.00    31464     0.00     0.00  linked_list_head
  0.00      0.55     0.00    31008     0.00     0.00  mod_coalesce
  0.00      0.55     0.00    31008     0.00     0.00  mod_stack_wait_in_stack
  0.00      0.55     0.00    30797     0.00     0.00  x86_isa_call_rel32_impl
  0.00      0.55     0.00    28385     0.00     0.00  linked_list_next
  0.00      0.55     0.00    27965     0.00     0.00  x86_isa_add_r32_rm32_impl
  0.00      0.55     0.00    26127     0.00     0.00  linked_list_add
  0.00      0.55     0.00    25420     0.00     0.00  __xmalloc
  0.00      0.55     0.00    25412     0.00     0.00  linked_list_remove
  0.00      0.55     0.00    25410     0.00     0.00  net_buffer_wait
  0.00      0.55     0.00    25218     0.00     0.00  net_try_send_ev
  0.00      0.55     0.00    24589     0.00     0.00  X86ContextStoreFpu
  0.00      0.55     0.00    24589     0.00     0.00  X86ContextStoreFpuCode
  0.00      0.55     0.00    24576     0.00     0.00  X86ContextExtendedToFloat
  0.00      0.55     0.00    24576     0.00     0.00  X86ContextStoreFloat
  0.00      0.55     0.00    24576     0.00     0.00  x86_isa_fstp_m32_impl
  0.00      0.55     0.00    22627     0.00     0.00  x86_isa_mov_rm32_imm32_impl
  0.00      0.55     0.00    22220     0.00     0.00  x86_isa_xor_rm32_r32_impl
  0.00      0.55     0.00    21851     0.00     0.00  x86_isa_cmp_r32_rm32_impl
  0.00      0.55     0.00    21085     0.00     0.00  x86_isa_test_rm8_r8_impl
  0.00      0.55     0.00    20875     0.00     0.00  x86_isa_add_rm32_r32_impl
  0.00      0.55     0.00    20613     0.00     0.00  X86EmuProcessEventsSchedule
  0.00      0.55     0.00    20608     0.00     0.00  opencl_si_request_work
  0.00      0.55     0.00    20583     0.00     0.00  opencl_abi_si_ndrange_finish_can_wakeup
  0.00      0.55     0.00    18288     0.00     0.00  x86_isa_lea_r32_m_impl
